year,month,value
2011,1,0
2011,2,0
2011,3,0
2011,4,0
2011,5,0
2011,6,831
2011,7,1018
2011,8,1162
2011,9,1194
2011,10,1209
2011,11,1013
2011,12,787
2012,1,1306
2012,2,1526
2012,3,1701
2012,4,1701
2012,5,206
2012,6,1815
2012,7,1885
2012,8,1722
2012,9,2232
2012,10,2754
2012,11,2422
2012,12,2251
2013,1,1697
2013,2,2162
2013,3,1986
2013,4,2476
2013,5,2449
2013,6,1865
2013,7,242
2013,8,6391
2013,9,2199
2013,10,2003
2013,11,1534
2013,12,1286
2014,1,882
2014,2,1511
2014,3,4087
2014,4,1983
2014,5,2097
2014,6,1315
2014,7,1605
2014,8,1457
2014,9,1686
2014,10,1913
2014,11,1294
2014,12,944
2015,1,912
2015,2,986
2015,3,948
2015,4,954
2015,5,995
2015,6,1123
2015,7,1725
2015,8,930
2015,9,103
2015,10,933
2015,11,724
2015,12,823
2016,1,376
2016,2,953
2016,3,825
2016,4,1811
2016,5,853
2016,6,872
2016,7,874
2016,8,1031
2016,9,1045
2016,10,909
2016,11,961
2016,12,588
2017,1,468
2017,2,734
2017,3,926
2017,4,890
2017,5,734
2017,6,761
2017,7,626
2017,8,852
2017,9,653
2017,10,748
2017,11,646
2017,12,365